Starting Experiment
Experiment Path: experiments\exp_006_unet3d_v1
Epoch 051 | LR: 7.43e-05 | Loss: 0.5381 | Dice: 0.4794 | CE: 0.0582 | Focal: 0.0011
Epoch 052 | LR: 7.34e-05 | Loss: 0.5353 | Dice: 0.4762 | CE: 0.0586 | Focal: 0.0011
Epoch 053 | LR: 7.25e-05 | Loss: 0.5369 | Dice: 0.4787 | CE: 0.0576 | Focal: 0.0011
Epoch 054 | LR: 7.16e-05 | Loss: 0.5338 | Dice: 0.4753 | CE: 0.0580 | Focal: 0.0011
Epoch 055 | LR: 7.06e-05 | Loss: 0.5330 | Dice: 0.4732 | CE: 0.0592 | Focal: 0.0011
Epoch 056 | LR: 6.97e-05 | Loss: 0.5302 | Dice: 0.4749 | CE: 0.0548 | Focal: 0.0010
Epoch 057 | LR: 6.87e-05 | Loss: 0.5345 | Dice: 0.4784 | CE: 0.0556 | Focal: 0.0010
Epoch 058 | LR: 6.78e-05 | Loss: 0.5287 | Dice: 0.4734 | CE: 0.0548 | Focal: 0.0010
Epoch 059 | LR: 6.68e-05 | Loss: 0.5267 | Dice: 0.4714 | CE: 0.0548 | Focal: 0.0010
Epoch 060 | LR: 6.58e-05 | Loss: 0.5222 | Dice: 0.4682 | CE: 0.0536 | Focal: 0.0010
Epoch 061 | LR: 6.48e-05 | Loss: 0.5199 | Dice: 0.4669 | CE: 0.0525 | Focal: 0.0010
Epoch 062 | LR: 6.38e-05 | Loss: 0.5241 | Dice: 0.4697 | CE: 0.0538 | Focal: 0.0010
Epoch 063 | LR: 6.28e-05 | Loss: 0.5244 | Dice: 0.4707 | CE: 0.0533 | Focal: 0.0010
Epoch 064 | LR: 6.18e-05 | Loss: 0.5188 | Dice: 0.4657 | CE: 0.0526 | Focal: 0.0010
Epoch 065 | LR: 6.08e-05 | Loss: 0.5194 | Dice: 0.4667 | CE: 0.0522 | Focal: 0.0010
Epoch 066 | LR: 5.98e-05 | Loss: 0.5166 | Dice: 0.4655 | CE: 0.0507 | Focal: 0.0009
Epoch 067 | LR: 5.88e-05 | Loss: 0.5078 | Dice: 0.4566 | CE: 0.0507 | Focal: 0.0009
Epoch 068 | LR: 5.77e-05 | Loss: 0.5285 | Dice: 0.4776 | CE: 0.0504 | Focal: 0.0009
Epoch 069 | LR: 5.67e-05 | Loss: 0.5027 | Dice: 0.4506 | CE: 0.0516 | Focal: 0.0009
Epoch 070 | LR: 5.57e-05 | Loss: 0.5062 | Dice: 0.4549 | CE: 0.0508 | Focal: 0.0009
Epoch 071 | LR: 5.46e-05 | Loss: 0.5136 | Dice: 0.4609 | CE: 0.0523 | Focal: 0.0010
Epoch 072 | LR: 5.36e-05 | Loss: 0.5098 | Dice: 0.4597 | CE: 0.0497 | Focal: 0.0009
Epoch 073 | LR: 5.26e-05 | Loss: 0.5103 | Dice: 0.4610 | CE: 0.0489 | Focal: 0.0009
Epoch 074 | LR: 5.15e-05 | Loss: 0.5088 | Dice: 0.4593 | CE: 0.0490 | Focal: 0.0009
Epoch 075 | LR: 5.05e-05 | Loss: 0.5047 | Dice: 0.4558 | CE: 0.0485 | Focal: 0.0009
