Starting Experiment
Experiment Path: experiments\exp_010_unetpp_ds
Epoch 031/200 | LR: 9.70e-05 | Loss: 0.9827 | Dice: 0.4872 | CE: 0.0736 | Focal: 0.0015 | PerClass [C0:0.998 | C1:0.795 | C2:0.850 | C3:0.823]
Epoch 032/200 | LR: 9.68e-05 | Loss: 0.9894 | Dice: 0.4885 | CE: 0.0761 | Focal: 0.0015 | PerClass [C0:0.998 | C1:0.793 | C2:0.846 | C3:0.849]
Epoch 033/200 | LR: 9.65e-05 | Loss: 0.9753 | Dice: 0.4841 | CE: 0.0725 | Focal: 0.0015 | PerClass [C0:0.998 | C1:0.802 | C2:0.852 | C3:0.851]
Epoch 034/200 | LR: 9.62e-05 | Loss: 0.8462 | Dice: 0.3918 | CE: 0.0908 | Focal: 0.0020 | PerClass [C0:0.998 | C1:0.806 | C2:0.845 | C3:0.847]
Epoch 035/200 | LR: 9.58e-05 | Loss: 0.7487 | Dice: 0.3400 | CE: 0.0868 | Focal: 0.0019 | PerClass [C0:0.998 | C1:0.828 | C2:0.846 | C3:0.839]
Epoch 036/200 | LR: 9.55e-05 | Loss: 0.7375 | Dice: 0.3379 | CE: 0.0827 | Focal: 0.0018 | PerClass [C0:0.998 | C1:0.833 | C2:0.846 | C3:0.840]
Epoch 037/200 | LR: 9.51e-05 | Loss: 0.7238 | Dice: 0.3305 | CE: 0.0823 | Focal: 0.0018 | PerClass [C0:0.998 | C1:0.842 | C2:0.844 | C3:0.848]
Epoch 038/200 | LR: 9.48e-05 | Loss: 0.6930 | Dice: 0.3187 | CE: 0.0765 | Focal: 0.0016 | PerClass [C0:0.998 | C1:0.848 | C2:0.857 | C3:0.853]
Epoch 039/200 | LR: 9.44e-05 | Loss: 0.7064 | Dice: 0.3257 | CE: 0.0771 | Focal: 0.0016 | PerClass [C0:0.998 | C1:0.848 | C2:0.849 | C3:0.839]
Epoch 040/200 | LR: 9.40e-05 | Loss: 0.6894 | Dice: 0.3222 | CE: 0.0711 | Focal: 0.0014 | PerClass [C0:0.998 | C1:0.860 | C2:0.852 | C3:0.853]
Epoch 041/200 | LR: 9.36e-05 | Loss: 0.6338 | Dice: 0.2796 | CE: 0.0817 | Focal: 0.0018 | PerClass [C0:0.998 | C1:0.844 | C2:0.861 | C3:0.858]
Epoch 042/200 | LR: 9.32e-05 | Loss: 0.5738 | Dice: 0.2495 | CE: 0.0776 | Focal: 0.0017 | PerClass [C0:0.998 | C1:0.855 | C2:0.860 | C3:0.855]
Epoch 043/200 | LR: 9.28e-05 | Loss: 0.5415 | Dice: 0.2347 | CE: 0.0740 | Focal: 0.0016 | PerClass [C0:0.998 | C1:0.865 | C2:0.858 | C3:0.853]
Epoch 044/200 | LR: 9.24e-05 | Loss: 0.5496 | Dice: 0.2332 | CE: 0.0800 | Focal: 0.0017 | PerClass [C0:0.998 | C1:0.867 | C2:0.856 | C3:0.860]
Epoch 045/200 | LR: 9.19e-05 | Loss: 0.5386 | Dice: 0.2305 | CE: 0.0765 | Focal: 0.0016 | PerClass [C0:0.998 | C1:0.864 | C2:0.857 | C3:0.866]
Epoch 046/200 | LR: 9.15e-05 | Loss: 0.5530 | Dice: 0.2360 | CE: 0.0792 | Focal: 0.0017 | PerClass [C0:0.998 | C1:0.870 | C2:0.853 | C3:0.856]
Epoch 047/200 | LR: 9.10e-05 | Loss: 0.5280 | Dice: 0.2243 | CE: 0.0766 | Focal: 0.0016 | PerClass [C0:0.998 | C1:0.863 | C2:0.870 | C3:0.857]
Epoch 048/200 | LR: 9.05e-05 | Loss: 0.5194 | Dice: 0.2254 | CE: 0.0706 | Focal: 0.0015 | PerClass [C0:0.998 | C1:0.879 | C2:0.856 | C3:0.859]
Epoch 049/200 | LR: 9.01e-05 | Loss: 0.5325 | Dice: 0.2340 | CE: 0.0695 | Focal: 0.0015 | PerClass [C0:0.998 | C1:0.865 | C2:0.867 | C3:0.867]
Epoch 050/200 | LR: 8.96e-05 | Loss: 0.5235 | Dice: 0.2277 | CE: 0.0707 | Focal: 0.0015 | PerClass [C0:0.998 | C1:0.879 | C2:0.859 | C3:0.855]
Epoch 051/200 | LR: 8.91e-05 | Loss: 0.5090 | Dice: 0.2222 | CE: 0.0679 | Focal: 0.0014 | PerClass [C0:0.998 | C1:0.880 | C2:0.867 | C3:0.862]
Epoch 052/200 | LR: 8.85e-05 | Loss: 0.5097 | Dice: 0.2224 | CE: 0.0682 | Focal: 0.0014 | PerClass [C0:0.998 | C1:0.886 | C2:0.861 | C3:0.866]
Epoch 053/200 | LR: 8.80e-05 | Loss: 0.5075 | Dice: 0.2212 | CE: 0.0681 | Focal: 0.0014 | PerClass [C0:0.998 | C1:0.877 | C2:0.869 | C3:0.865]
Epoch 054/200 | LR: 8.75e-05 | Loss: 0.5007 | Dice: 0.2222 | CE: 0.0633 | Focal: 0.0013 | PerClass [C0:0.998 | C1:0.882 | C2:0.860 | C3:0.867]
