Starting Experiment
Experiment Path: experiments\exp_008_unetpp_v1
Epoch 051 | LR: 8.49e-05 | Loss: 0.5191 | Dice: 0.4647 | CE: 0.0540 | Focal: 0.0010
Epoch 052 | LR: 8.44e-05 | Loss: 0.5270 | Dice: 0.4721 | CE: 0.0544 | Focal: 0.0010
Epoch 053 | LR: 8.38e-05 | Loss: 0.5289 | Dice: 0.4730 | CE: 0.0554 | Focal: 0.0010
Epoch 054 | LR: 8.32e-05 | Loss: 0.5109 | Dice: 0.4562 | CE: 0.0541 | Focal: 0.0010
Epoch 055 | LR: 8.26e-05 | Loss: 0.5272 | Dice: 0.4718 | CE: 0.0549 | Focal: 0.0010
Epoch 056 | LR: 8.21e-05 | Loss: 0.5180 | Dice: 0.4663 | CE: 0.0512 | Focal: 0.0009
Epoch 057 | LR: 8.14e-05 | Loss: 0.5132 | Dice: 0.4596 | CE: 0.0530 | Focal: 0.0010
Epoch 058 | LR: 8.08e-05 | Loss: 0.5107 | Dice: 0.4570 | CE: 0.0533 | Focal: 0.0010
Epoch 059 | LR: 8.02e-05 | Loss: 0.5110 | Dice: 0.4591 | CE: 0.0514 | Focal: 0.0009
Epoch 060 | LR: 7.96e-05 | Loss: 0.5099 | Dice: 0.4554 | CE: 0.0540 | Focal: 0.0010
Epoch 061 | LR: 7.90e-05 | Loss: 0.5136 | Dice: 0.4619 | CE: 0.0513 | Focal: 0.0010
Epoch 062 | LR: 7.83e-05 | Loss: 0.5170 | Dice: 0.4651 | CE: 0.0515 | Focal: 0.0009
Epoch 063 | LR: 7.77e-05 | Loss: 0.5044 | Dice: 0.4543 | CE: 0.0496 | Focal: 0.0009
Epoch 064 | LR: 7.70e-05 | Loss: 0.5059 | Dice: 0.4549 | CE: 0.0505 | Focal: 0.0009
Epoch 065 | LR: 7.64e-05 | Loss: 0.5111 | Dice: 0.4620 | CE: 0.0486 | Focal: 0.0009
Epoch 066 | LR: 7.57e-05 | Loss: 0.5072 | Dice: 0.4573 | CE: 0.0495 | Focal: 0.0009
Epoch 067 | LR: 7.50e-05 | Loss: 0.5145 | Dice: 0.4650 | CE: 0.0490 | Focal: 0.0009
Epoch 068 | LR: 7.43e-05 | Loss: 0.5097 | Dice: 0.4595 | CE: 0.0497 | Focal: 0.0009
Epoch 069 | LR: 7.37e-05 | Loss: 0.5000 | Dice: 0.4513 | CE: 0.0482 | Focal: 0.0009
Epoch 070 | LR: 7.30e-05 | Loss: 0.5150 | Dice: 0.4651 | CE: 0.0494 | Focal: 0.0009
Epoch 071 | LR: 7.23e-05 | Loss: 0.4933 | Dice: 0.4459 | CE: 0.0470 | Focal: 0.0009
Epoch 072 | LR: 7.16e-05 | Loss: 0.5042 | Dice: 0.4545 | CE: 0.0492 | Focal: 0.0009
Epoch 073 | LR: 7.09e-05 | Loss: 0.4935 | Dice: 0.4465 | CE: 0.0466 | Focal: 0.0008
Epoch 074 | LR: 7.02e-05 | Loss: 0.4993 | Dice: 0.4505 | CE: 0.0484 | Focal: 0.0009
Epoch 075 | LR: 6.94e-05 | Loss: 0.4963 | Dice: 0.4482 | CE: 0.0477 | Focal: 0.0009
Epoch 076 | LR: 6.87e-05 | Loss: 0.4927 | Dice: 0.4445 | CE: 0.0478 | Focal: 0.0009
Epoch 077 | LR: 6.80e-05 | Loss: 0.4990 | Dice: 0.4519 | CE: 0.0466 | Focal: 0.0009
Epoch 078 | LR: 6.73e-05 | Loss: 0.4887 | Dice: 0.4417 | CE: 0.0466 | Focal: 0.0009
Epoch 079 | LR: 6.65e-05 | Loss: 0.4903 | Dice: 0.4439 | CE: 0.0459 | Focal: 0.0008
Epoch 080 | LR: 6.58e-05 | Loss: 0.4969 | Dice: 0.4494 | CE: 0.0470 | Focal: 0.0009
Epoch 081 | LR: 6.51e-05 | Loss: 0.4900 | Dice: 0.4448 | CE: 0.0449 | Focal: 0.0008
Epoch 082 | LR: 6.43e-05 | Loss: 0.4896 | Dice: 0.4442 | CE: 0.0449 | Focal: 0.0008
Epoch 083 | LR: 6.36e-05 | Loss: 0.4862 | Dice: 0.4414 | CE: 0.0444 | Focal: 0.0008
Epoch 084 | LR: 6.28e-05 | Loss: 0.4865 | Dice: 0.4402 | CE: 0.0459 | Focal: 0.0008
Epoch 085 | LR: 6.21e-05 | Loss: 0.4884 | Dice: 0.4445 | CE: 0.0435 | Focal: 0.0008
Epoch 086 | LR: 6.13e-05 | Loss: 0.4857 | Dice: 0.4417 | CE: 0.0436 | Focal: 0.0008
Epoch 087 | LR: 6.05e-05 | Loss: 0.4905 | Dice: 0.4465 | CE: 0.0436 | Focal: 0.0008
Epoch 088 | LR: 5.98e-05 | Loss: 0.4933 | Dice: 0.4494 | CE: 0.0435 | Focal: 0.0008
Epoch 089 | LR: 5.90e-05 | Loss: 0.4832 | Dice: 0.4394 | CE: 0.0434 | Focal: 0.0008
Epoch 090 | LR: 5.82e-05 | Loss: 0.4829 | Dice: 0.4380 | CE: 0.0445 | Focal: 0.0008
Epoch 091 | LR: 5.75e-05 | Loss: 0.4807 | Dice: 0.4363 | CE: 0.0440 | Focal: 0.0008
Epoch 092 | LR: 5.67e-05 | Loss: 0.4817 | Dice: 0.4384 | CE: 0.0429 | Focal: 0.0008
Epoch 093 | LR: 5.59e-05 | Loss: 0.4874 | Dice: 0.4442 | CE: 0.0428 | Focal: 0.0008
Epoch 094 | LR: 5.52e-05 | Loss: 0.4834 | Dice: 0.4401 | CE: 0.0429 | Focal: 0.0008
Epoch 095 | LR: 5.44e-05 | Loss: 0.4807 | Dice: 0.4376 | CE: 0.0426 | Focal: 0.0008
